JobName : 643494-1-1-XWafer_YWafer
SerialNum : 643494-1-1-XWafer ; 643494-1-1-YWafer
DateTime : August 1, 2025 09:27:17 EDT
OperatorName : bmowry
LaserID : Renishaw 1 : Mirror 1
StageLabel : ALS20035-ES15925-03 ; ALS20035-ES15925-04
Calibrated : 1 ; 1
CoefficientOfThermalExpansion : 7.5 ; 7.5
ControllerVerison : Automation1 2.10.2
Iterations : 1
BiDirectional : 0
ConversionFactor : 1
BacklashDistance : 0 ; 0
CountsPerUnit : 100000 ; 100000
TestType : Accuracy2D
OpticLocation : 25.4mm above TWafer tt
Payload : 1.4kg
CalibrationFile : None
HomePositionSet : 0 ; 0
TestOrientation : Lower Axis ; Upper Axis
MotionDirection : 1 ; 1
AmplifierType : ACBrushlessLinear Rev(-) @ 7.3 Amps ; ACBrushlessLinear Rev(-) @ 7.3 Amps
MoveVelocity : 5
MoveAcceleration : 75
AxisIndex : 6 ; 5
EncoderFamily : I ; I
HomeOffset : -148.659945 ; -199.206036
HomeDirection : U ; U
GantryAxes : -1 ; -1
StageSerialNumber : 518496-01 ; 518497-01

DBase Info
DriveEncoderMultiplier : 2000 ; 2000
DriveFeedbackType : Incremental Encoder Sine Wave ; Incremental Encoder Sine Wave
StepSize : 5 ; 5
TestLength : 350 ; 350
FirmwareVersion : 2.10.2.2512

Ignored

       Position1         LaserData1       Position2         LaserData2   AirTemp   MatTemp  Pressure  Humidity
:START
     70.00000000           70.00251      5.00000000            4.97045     21.15     21.31    740.01     66.00
     75.00000000           75.00210      5.00000000            4.96848     21.15     21.31    740.01     66.00
     80.00000000           80.00199      5.00000000            4.96651     21.15     21.31    740.01     66.00
     85.00000000           85.00197      5.00000000            4.96419     21.15     21.31    740.01     66.00
     90.00000000           90.00214      5.00000000            4.96208     21.15     21.31    740.01     66.00
     95.00000000           95.00248      5.00000000            4.95979     21.15     21.31    740.01     66.00
    100.00000000          100.00247      5.00000000            4.95755     21.15     21.31    740.01     66.00
    105.00000000          105.00260      5.00000000            4.95532     21.15     21.31    740.01     66.00
    110.00000000          110.00274      5.00000000            4.95307     21.15     21.31    740.01     66.00
    115.00000000          115.00262      5.00000000            4.95049     21.15     21.31    740.01     66.00
    120.00000000          120.00283      5.00000000            4.94779     21.15     21.31    740.01     66.00
    125.00000000          125.00273      5.00000000            4.94474     21.15     21.31    740.01     66.00
    130.00000000          130.00259      5.00000000            4.94209     21.15     21.31    740.01     66.00
    135.00000000          135.00235      5.00000000            4.93891     21.15     21.31    740.01     66.00
    140.00000000          140.00177      5.00000000            4.93599     21.15     21.31    740.01     66.00
    145.00000000          145.00169      5.00000000            4.93302     21.15     21.31    740.01     66.00
    150.00000000          150.00179      5.00000000            4.93041     21.15     21.31    740.01     66.00
    155.00000000          155.00181      5.00000000            4.92748     21.15     21.31    740.01     66.00
    160.00000000          160.00187      5.00000000            4.92471     21.15     21.31    740.01     66.00
    165.00000000          165.00246      5.00000000            4.92179     21.15     21.31    740.01     66.00
    170.00000000          170.00177      5.00000000            4.91961     21.15     21.31    740.01     66.00
    175.00000000          175.00073      5.00000000            4.91716     21.15     21.31    740.01     66.00
    180.00000000          180.00042      5.00000000            4.91504     21.15     21.31    740.01     66.00
    185.00000000          185.00084      5.00000000            4.91281     21.15     21.31    740.01     66.00
    190.00000000          190.00080      5.00000000            4.91102     21.15     21.31    740.01     66.00
    195.00000000          195.00060      5.00000000            4.90926     21.15     21.31    740.01     66.00
    200.00000000          200.00048      5.00000000            4.90792     21.15     21.31    740.01     66.00
    205.00000000          205.00053      5.00000000            4.90642     21.15     21.31    740.01     66.00
    210.00000000          210.00023      5.00000000            4.90485     21.15     21.31    740.01     66.00
    215.00000000          215.00001      5.00000000            4.90248     21.15     21.31    740.01     66.00
    220.00000000          219.99989      5.00000000            4.90032     21.15     21.31    740.01     66.00
    225.00000000          224.99971      5.00000000            4.89795     21.15     21.31    740.01     66.00
    230.00000000          229.99960      5.00000000            4.89575     21.15     21.31    740.01     66.00
    235.00000000          234.99970      5.00000000            4.89307     21.15     21.31    740.01     66.00
    240.00000000          240.00013      5.00000000            4.89018     21.15     21.31    740.01     66.00
    245.00000000          245.00035      5.00000000            4.88707     21.15     21.31    740.01     66.00
    250.00000000          250.00084      5.00000000            4.88390     21.15     21.31    740.01     66.00
    255.00000000          255.00150      5.00000000            4.88061     21.15     21.31    740.01     66.00
    260.00000000          260.00227      5.00000000            4.87805     21.15     21.31    740.01     66.00
    265.00000000          265.00197      5.00000000            4.87591     21.15     21.31    740.01     66.00
    270.00000000          270.00140      5.00000000            4.87422     21.15     21.31    740.01     66.00
    275.00000000          275.00101      5.00000000            4.87238     21.15     21.31    740.01     66.00
    280.00000000          280.00059      5.00000000            4.87082     21.15     21.31    740.01     66.00
    285.00000000          285.00056      5.00000000            4.86891     21.15     21.31    740.01     66.00
    290.00000000          290.00057      5.00000000            4.86664     21.15     21.31    740.01     66.00
    295.00000000          295.00056      5.00000000            4.86396     21.15     21.31    740.01     66.00
